canonical_name,developer,project_type,city,county,state,utility,iso_region,load_mw,load_bucket,announced_date,expected_online_date,lifecycle_state,source_url,source_title,source_type,evidence_excerpt,latitude,longitude,coordinate_status,coordinate_precision,coordinate_source,coordinate_confidence,coordinate_notes
AVAIO Farmville,AVAIO Digital,data_center,Farmville,Prince Edward,VA,,,,,,,,https://www.avaiodigital.com/updates/avaio-digital-and-prince-edward-county-ida-agree-to-bring-5-billion-sustainable-hyperscale-data-center-campus-to-the-farmville-va-community,AVAIO Digital and Prince Edward County IDA agree to bring sustainable hyperscale data center campus to the Farmville VA community,developer_statement,,37.3021,-78.3919,unverified,approximate,manual_capture,0.7,Coordinate from prior manual project capture in this repository.
CleanArc VA1,CleanArc Data Centers,data_center,,Caroline,VA,,PJM,900,900+ MW,2025-11-20,,candidate_unverified,https://www.cleanarcdatacenters.com/press-release/cleanarc-data-centers-breaks-ground-on-900mw-flagship-hyperscale-campus-in-virginia-2-2/,CleanArc Data Centers Breaks Ground on 900MW Flagship Hyperscale Campus in Virginia,developer_statement,"CleanArc Data Centers announced the groundbreaking of its flagship hyperscale data center campus in Caroline County, Virginia. The campus is planned as a 900 MW project.",38.0300,-77.3500,unverified,approximate,starter_dataset,0.7,Coordinate from existing starter project record in this repository.
